Carimbo de data/hora,Possui alguma tatuagem?,Qual sua faixa etária?,Qual seu sexo?,Em qual cidade mora?,Qual seu passatempo favorito?,Estilo musical preferido,Razão ou emoção?,"Defina o momento atual da sua vida com um adjetivo. Exemplos: chato, decisivo, conturbado, sensacional...",Qual a sua motivação para fazer a PRIMEIRA tatuagem?,Qual o significado da sua PRIMEIRA tatuagem?,Quantas tatuagens você possui? (Responda apenas o número.),Em que lugar do corpo foi feita a sua PRIMEIRA tatuagem?,Com que idade você fez sua PRIMEIRA tatuagem?(Apenas o número.),Em que ano foi feita a PRIMEIRA tatuagem?,"Quanto custou, em reais, sua tatuagem mais cara?","Considerando os tamanhos da sua mão inteira(grande), só da palma(média) e só do dedo 'mindinho'(pequena), qual o tamanho da sua primeira tatuagem?",Você prefere tatuagens com desenhos ou textos?,Sofreu ou sofre algum tipo de discriminação por ter tatuagem?,"Acredita que há preconceito, no mercado de trabalho, com as pessoas que possuem tatuagem?",Já cobriu ou pensou em cobrir alguma das suas tatuagens? Por quê? ,Já removeu ou pensou em remover alguma das suas tatuagens? Por quê?,Você preza pelo estúdio de tatuagem?,Você escolhe o tamanho da tatuagem pelo preço que irá pagar? ,Faz diferença ter um número ímpar ou par de tatuagens? ,"Se fazer tatuagem fosse de graça, você faria mais? "
2019/12/03 5:16:30 PM GMT-3,Sim,27 - 35 anos,Masculino,Niterói,Praticar esportes,Rap,Os dois em igualdade,Importante,Sentimento ou homenagem por uma pessoa querida,Importância de um familiar,2,Perna,18,2010,1800,Média,Desenhos,Não,Sim,Não,Não,Sim,Não,Não,Sim
2019/12/03 5:42:52 PM GMT-3,Sim,27 - 35 anos,Feminino,Niterói,Praticar esportes,PAGODE,Razão,Esplêndido ,Influência por estar na moda ou ser descolado,Simbologia,6,Pé(inclui tornozelo),15,2004,280,Pequena,Indiferente,Sim,Sim,Não,Não,Sim,Não,"Sim, prefiro ímpar",Sim
2019/12/03 5:45:13 PM GMT-3,Sim,27 - 35 anos,Feminino,Rio de Janeiro,Navegar em redes sociais,PAGODE,Razão,Nervoso,Sentimento ou homenagem por uma pessoa querida,Importância de um familiar,7,Braço,18,2010,800,Pequena,Desenhos,Não,Sim,Sim. Arrependimento.,Não,Sim,Não,Não,Sim
2019/12/03 5:47:30 PM GMT-3,Sim,27 - 35 anos,Feminino,São Gonçalo,Praticar esportes,ROCK,Emoção,Calmo,Paixão por esportes/animais/símbolos,Simbologia,4,Nuca,19,2011,120,Pequena,Indiferente,Não,Não,Não,Não,Sim,Não,Não,Sim
2019/12/03 5:49:23 PM GMT-3,Sim,27 - 35 anos,Feminino,São Gonçalo,Navegar em redes sociais,Eclético,Os dois em igualdade,Mágico,Registrar como um marco sobre um momento importante da sua vida,Parceria afetiva com alguém,5,Região íntima,14,2001,1000,Grande,Desenhos,Sim,Sim,Não,Não,Sim,Não,Não,Sim
2019/12/03 5:51:34 PM GMT-3,Sim,27 - 35 anos,Feminino,Niterói,Ler,SERTANEJO,Emoção,Complicado ,Registrar como um marco sobre um momento importante da sua vida,A tatuagem possui um significado de identificação pessoal,8,Braço,30,2018,200,Média,Desenhos,Não,Talvez,Não,Não,Sim,Não,Não,Sim
2019/12/03 6:23:21 PM GMT-3,Sim,27 - 35 anos,Feminino,Niterói,Navegar em redes sociais,FUNK,Emoção,Agitado,Registrar como um marco sobre um momento importante da sua vida,Fé,4,Orelha ,27,2018,120,Pequena,Indiferente,Não,Talvez,Não,Não,Sim,Não,Não,Sim
2019/12/03 6:30:18 PM GMT-3,Sim,27 - 35 anos,Feminino,São Gonçalo,Navegar em redes sociais,PAGODE,Os dois em igualdade,Forte,Sentimento ou homenagem por uma pessoa querida,Importância de um familiar,2,Braço,27,2019,1000,Grande,Desenhos,Não,Sim,Não,Não,Sim,Sim,Não,Sim
2019/12/03 6:41:02 PM GMT-3,Sim,27 - 35 anos,Feminino,São Gonçalo,Navegar em redes sociais,MPB,Os dois em igualdade,Incógnita,Sentimento ou homenagem por uma pessoa querida,Importância de um familiar,17,Costas,25,2014,300,Média,Desenhos,Sim,Sim,Sim. Insatisfação com o resultado.,Sim. Insatisfação com o resultado.,Sim,Não,"Sim, prefiro ímpar",Sim
2019/12/03 6:53:42 PM GMT-3,Sim,27 - 35 anos,Masculino,São Gonçalo,Navegar em redes sociais,Gospel,Razão,Dedicado,Sentimento ou homenagem por uma pessoa querida,Importância de um familiar,1,Braço,33,2017,200,Média,Desenhos,Não,Talvez,Sim. Sem motivo.,Não,Não,Não,Não,Sim
2019/12/03 7:17:16 PM GMT-3,Sim,27 - 35 anos,Masculino,Niterói,Todos acima,Eclético,Emoção,Decisivo,Registrar como um marco sobre um momento importante da sua vida,A tatuagem possui um significado de identificação pessoal,5,Mão,31,2016,800,Pequena,Indiferente,Não,Não,Não,Não,Sim,Não,Não,Sim
2019/12/03 7:45:25 PM GMT-3,Sim,27 - 35 anos,Feminino,Niterói,Navegar em redes sociais,MPB,Os dois em igualdade,Desafiador ,Sentimento ou homenagem por uma pessoa querida,Parceria afetiva com alguém,3,Quadril,17,2004,350,Pequena,Indiferente,Sim,Sim,Sim. Arrependimento.,Sim. Arrependimento.,Não,Não,Não,Não
2019/12/03 8:09:31 PM GMT-3,Sim,27 - 35 anos,Masculino,Niterói,Passeios,PAGODE,Razão,Complexo,Paixão por esportes/animais/símbolos,Simbologia,3,Perna,24,2011,1000,Muito maior que a sua mão,Desenhos,Não,Talvez,Não,Não,Sim,Não,Não,Sim
2019/12/03 8:16:31 PM GMT-3,Sim,27 - 35 anos,Feminino,Niterói,Praticar esportes,SERTANEJO,Os dois em igualdade,Infeliz,Sentimento ou homenagem por uma pessoa querida,Parceria afetiva com alguém,2,Costas,21,2008,200,Média,Textos,Não,Sim,Sim. Insatisfação com o resultado.,Não,Sim,Sim,"Sim, prefiro par",Sim
2019/12/03 8:16:48 PM GMT-3,Sim,27 - 35 anos,Masculino,Niterói,Praticar esportes,Samba ,Razão,Transformação ,Registrar como um marco sobre um momento importante da sua vida,Simbologia,1,Perna,25,2013,800,Grande,Indiferente,Não,Sim,Não,Não,Sim,Sim,Não,Sim
2019/12/03 8:34:58 PM GMT-3,Sim,27 - 35 anos,Masculino,São Gonçalo,Praticar esportes,SERTANEJO,Razão,Decisivo,Influência por estar na moda ou ser descolado,Fé,1,Parte frontal do tronco,23,2014,1000,Grande,Desenhos,Não,Sim,Sim. Insatisfação com o resultado.,Não,Não,Não,Não,Sim
2019/12/03 8:39:22 PM GMT-3,Sim,27 - 35 anos,Feminino,Rio de Janeiro,Navegar em redes sociais,Eclético,Os dois em igualdade,Conturbado,Sentimento ou homenagem por uma pessoa querida,Importância de um familiar,2,Braço,24,2013,50,Pequena,Textos,Não,Sim,Não,Não,Sim,Não,Não,Não
2019/12/03 8:48:47 PM GMT-3,Sim,27 - 35 anos,Feminino,Niterói,Assistir televisão,ROCK,Os dois em igualdade,Conturbado,Paixão por esportes/animais/símbolos,A tatuagem possui um significado de identificação pessoal,4,Perna,18,2006,150,Grande,Indiferente,Não,Sim,Não,Não,Sim,Não,Não,Sim
2019/12/03 8:59:58 PM GMT-3,Sim,27 - 35 anos,Feminino,Niterói,Praticar esportes,Internacional,Emoção,Sensacional,Registrar como um marco sobre um momento importante da sua vida,A tatuagem possui um significado de identificação pessoal,3,Costas,22,2014,500,Muito maior que a sua mão,Indiferente,Não,Sim,Não,Não,Sim,Sim,Não,Sim
2019/12/03 9:00:17 PM GMT-3,Sim,27 - 35 anos,Feminino,São Gonçalo,Ler,Pop,Emoção,Inspirador,Registrar como um marco sobre um momento importante da sua vida,Fé,10,Braço,29,2019,60,Pequena,Indiferente,Não,Talvez,Não,Não,Sim,Não,Não,Não
2019/12/03 9:14:03 PM GMT-3,Sim,27 - 35 anos,Feminino,Rio de Janeiro,Assistir futebol,Pop,Razão,Ansioso,Paixão por esportes/animais/símbolos,Futebol ,5,Perna,19,2008,400,Média,Desenhos,Não,Sim,Sim. Por emprego.,Sim. Por emprego.,Sim,Não,"Sim, prefiro ímpar",Sim
2019/12/03 9:15:02 PM GMT-3,Sim,27 - 35 anos,Masculino,Rio de Janeiro,Praticar esportes,Rap,Razão,Equilibrado,Registrar como um marco sobre um momento importante da sua vida,Simbologia,9,Braço,25,2016,350,Grande,Desenhos,Não,Sim,Não,Não,Sim,Não,Não,Sim
2019/12/03 9:26:02 PM GMT-3,Sim,27 - 35 anos,Masculino,Rio de Janeiro,Praticar esportes,ROCK,Razão,Decisivo,Motivação momentânea,Simbologia,5,Perna,25,2010,1700,Grande,Desenhos,Não,Talvez,Não,Não,Sim,Não,Não,Sim
2019/12/03 9:26:26 PM GMT-3,Sim,27 - 35 anos,Masculino,Rio de Janeiro,Assistir televisão,PAGODE,Os dois em igualdade,Conturbado,Registrar como um marco sobre um momento importante da sua vida,A tatuagem possui um significado de identificação pessoal,1,Braço,27,2019,700,Grande,Desenhos,Não,Sim,Não,Não,Sim,Não,Não,Sim
2019/12/03 10:13:22 PM GMT-3,Sim,27 - 35 anos,Feminino,São Gonçalo,Todos acima,ROCK,Os dois em igualdade,Gratidão,Sentimento ou homenagem por uma pessoa querida,Importância de um familiar,13,Pé(inclui tornozelo),17,2001,600,Média,Indiferente,Não,Talvez,Sim. Quis aperfeiçoar.,Não,Sim,Não,Não,Sim
2019/12/03 10:28:41 PM GMT-3,Sim,27 - 35 anos,Feminino,Niterói,Ler,ROCK,Razão,Espirituoso,Ornamentar ou decorar o corpo,Esporte torcida organizada,14,Costas,18,2008,1000,Pequena,Indiferente,Sim,Talvez,Não,Não,Sim,Não,Não,Sim
2019/12/03 10:35:39 PM GMT-3,Sim,27 - 35 anos,Feminino,Rio de Janeiro,Assistir televisão,PAGODE,Emoção,Conturbado,Sentimento ou homenagem por uma pessoa querida,Importância de um familiar,4,Braço,17,2002,300,Média,Desenhos,Não,Sim,Sim. Insatisfação com o resultado.,Sim. Insatisfação com o resultado.,Sim,Sim,Não,Sim
2019/12/03 10:35:58 PM GMT-3,Sim,27 - 35 anos,Feminino,Rio de Janeiro,Navegar em redes sociais,MPB,Os dois em igualdade,Complicado ,Registrar como um marco sobre um momento importante da sua vida,A tatuagem possui um significado de identificação pessoal,2,Perna,18,2007,2300,Muito maior que a sua mão,Indiferente,Não,Sim,Não,Não,Sim,Não,Não,Sim
2019/12/03 11:15:54 PM GMT-3,Sim,27 - 35 anos,Feminino,Rio de Janeiro,Navegar em redes sociais,Eletrônico ,Os dois em igualdade,Confuso ,Registrar como um marco sobre um momento importante da sua vida,Momento importante da vida ,2,Braço,24,2014,150,Pequena,Indiferente,Não,Sim,Não,Não,Sim,Não,Não,Sim
2019/12/04 12:28:11 AM GMT-3,Sim,27 - 35 anos,Masculino,Niterói,Jogos,MPB,Os dois em igualdade,Complicado ,Registrar como um marco sobre um momento importante da sua vida,A tatuagem possui um significado de identificação pessoal,2,Rosto,23,2013,250,Média,Indiferente,Não,Talvez,Não,Não,Sim,Não,"Sim, prefiro par",Sim
